event,release_utc,direction,anchor_bid,anchor_ask,anchor_mid,end_mid,net_move,fakeout_usd,correct_move_usd,correct_extreme_utc,bars,data_source,minimum_observed_safe_offset_usd,correct_move_reached_case_safe_offset
CPI,2021-08-11T12:30:00+00:00,UP,1735.945,1736.442,1736.1935,1744.8215,8.628,0.367,11.27,2021-08-11T12:49:00+00:00,30,archived bid/ask M1,0.5,True
PPI,2021-08-12T12:30:00+00:00,UP,1747.393,1747.731,1747.562,1749.427,1.865,3.545,2.433,2021-08-12T12:49:00+00:00,30,archived bid/ask M1,4.0,False
NFP,2021-09-03T12:30:00+00:00,UP,1814.198,1814.793,1814.4955,1823.535,9.0395,0.523,15.029,2021-09-03T12:33:00+00:00,30,archived bid/ask M1,1.0,True
PPI,2021-09-10T12:30:00+00:00,DOWN,1797.964,1798.326,1798.145,1793.5935,-4.5515,2.466,5.446,2021-09-10T12:48:00+00:00,30,archived bid/ask M1,2.5,True
CPI,2021-09-14T12:30:00+00:00,UP,1784.117,1784.455,1784.286,1797.223,12.937,3.832,14.847,2021-09-14T12:57:00+00:00,30,archived bid/ask M1,4.0,True
FOMC,2021-09-22T18:00:00+00:00,UP,1776.016,1776.354,1776.185,1784.273,8.088,7.702,11.172,2021-09-22T18:16:00+00:00,30,archived bid/ask M1,8.0,True
NFP,2021-10-08T12:30:00+00:00,UP,1761.725,1762.162,1761.9435,1775.8935,13.95,0.0,14.9,2021-10-08T12:42:00+00:00,30,archived bid/ask M1,0.5,True
CPI,2021-10-13T12:30:00+00:00,DOWN,1775.228,1775.617,1775.4225,1761.697,-13.7255,2.255,17.107,2021-10-13T12:40:00+00:00,30,archived bid/ask M1,2.5,True
PPI,2021-10-14T12:30:00+00:00,UP,1796.568,1796.972,1796.77,1799.138,2.368,0.664,2.844,2021-10-14T12:44:00+00:00,30,archived bid/ask M1,1.0,True
GDP,2021-10-28T12:30:00+00:00,DOWN,1805.138,1805.592,1805.365,1799.155,-6.21,0.0,8.04,2021-10-28T12:47:00+00:00,30,archived bid/ask M1,0.5,True
FOMC,2021-11-03T18:00:00+00:00,UP,1764.758,1765.442,1765.1,1765.217,0.117,3.525,5.29,2021-11-03T18:00:00+00:00,30,archived bid/ask M1,4.0,True
NFP,2021-11-05T12:30:00+00:00,DOWN,1792.438,1792.686,1792.562,1791.073,-1.489,1.826,7.544,2021-11-05T12:32:00+00:00,30,archived bid/ask M1,2.0,True
PPI,2021-11-09T13:30:00+00:00,UP,1826.663,1827.062,1826.8625,1829.915,3.0525,2.245,3.336,2021-11-09T13:57:00+00:00,30,archived bid/ask M1,2.5,True
CPI,2021-11-10T13:30:00+00:00,UP,1826.158,1826.613,1826.3855,1849.795,23.4095,3.99,25.357,2021-11-10T13:44:00+00:00,30,archived bid/ask M1,4.0,True
NFP,2021-12-03T13:30:00+00:00,UP,1769.638,1770.142,1769.89,1770.1565,0.2665,0.03,8.843,2021-12-03T13:31:00+00:00,30,archived bid/ask M1,0.5,True
CPI,2021-12-10T13:30:00+00:00,UP,1774.318,1774.712,1774.515,1784.24,9.725,0.06,10.85,2021-12-10T13:58:00+00:00,30,archived bid/ask M1,0.5,True
PPI,2021-12-14T13:30:00+00:00,DOWN,1779.718,1780.052,1779.885,1772.2465,-7.6385,1.54,8.199,2021-12-14T13:54:00+00:00,30,archived bid/ask M1,2.0,True
FOMC,2021-12-15T19:00:00+00:00,UP,1762.648,1763.322,1762.985,1763.045,0.06,9.72,3.68,2021-12-15T19:14:00+00:00,30,archived bid/ask M1,10.0,False
NFP,2022-01-07T13:30:00+00:00,UP,1788.618,1789.291,1788.9545,1789.32,0.3655,0.123,7.301,2022-01-07T13:31:00+00:00,30,archived bid/ask M1,0.5,True
CPI,2022-01-12T13:30:00+00:00,UP,1818.958,1819.412,1819.185,1821.327,2.142,1.85,6.21,2022-01-12T13:44:00+00:00,30,archived bid/ask M1,2.0,True
PPI,2022-01-13T13:30:00+00:00,UP,1820.648,1821.042,1820.845,1822.015,1.17,1.57,3.354,2022-01-13T13:39:00+00:00,30,archived bid/ask M1,2.0,True
FOMC,2022-01-26T19:00:00+00:00,UP,1828.948,1829.572,1829.26,1832.025,2.765,0.03,3.94,2022-01-26T19:00:00+00:00,30,archived bid/ask M1,0.5,True
GDP,2022-01-27T13:30:00+00:00,DOWN,1806.158,1806.602,1806.38,1799.975,-6.405,0.2,8.254,2022-01-27T13:56:00+00:00,30,archived bid/ask M1,0.5,True
NFP,2022-02-04T13:30:00+00:00,DOWN,1812.972,1813.322,1813.147,1795.5,-17.647,0.513,17.972,2022-02-04T13:59:00+00:00,30,archived bid/ask M1,1.0,True
CPI,2022-02-10T13:30:00+00:00,UP,1829.938,1830.322,1830.13,1830.41,0.28,8.404,7.19,2022-02-10T13:42:00+00:00,30,archived bid/ask M1,8.5,False
PPI,2022-02-15T13:30:00+00:00,UP,1847.408,1847.802,1847.605,1850.455,2.85,2.85,6.074,2022-02-15T13:40:00+00:00,30,archived bid/ask M1,3.0,True
NFP,2022-03-04T13:30:00+00:00,UP,1944.467,1944.889,1944.678,1946.98,2.302,2.174,3.633,2022-03-04T13:54:00+00:00,30,archived bid/ask M1,2.5,True
CPI,2022-03-10T13:30:00+00:00,DOWN,2002.188,2002.642,2002.415,1996.599,-5.816,6.67,10.56,2022-03-10T13:51:00+00:00,30,archived bid/ask M1,7.0,True
PPI,2022-03-15T12:30:00+00:00,DOWN,1922.926,1923.352,1923.139,1920.8725,-2.2665,1.495,3.673,2022-03-15T12:31:00+00:00,30,archived bid/ask M1,1.5,True
FOMC,2022-03-16T18:00:00+00:00,DOWN,1907.523,1908.372,1907.9475,1904.4135,-3.534,8.18,12.575,2022-03-16T18:20:00+00:00,30,archived bid/ask M1,8.5,True
NFP,2022-04-01T12:30:00+00:00,DOWN,1929.844,1930.322,1930.083,1927.4855,-2.5975,1.06,4.434,2022-04-01T12:31:00+00:00,30,archived bid/ask M1,1.5,True
CPI,2022-04-12T12:30:00+00:00,UP,1955.378,1955.841,1955.6095,1970.5025,14.893,0.026,16.469,2022-04-12T12:55:00+00:00,30,archived bid/ask M1,0.5,True
PPI,2022-04-13T12:30:00+00:00,UP,1975.573,1975.918,1975.7455,1977.5555,1.81,2.995,3.194,2022-04-13T12:43:00+00:00,30,archived bid/ask M1,3.0,True
GDP,2022-04-28T12:30:00+00:00,UP,1883.093,1883.587,1883.34,1885.635,2.295,0.075,12.061,2022-04-28T12:34:00+00:00,30,archived bid/ask M1,0.5,True
FOMC,2022-05-04T18:00:00+00:00,UP,1866.698,1867.277,1866.9875,1875.385,8.3975,2.35,8.995,2022-05-04T18:05:00+00:00,30,archived bid/ask M1,2.5,True
NFP,2022-05-06T12:30:00+00:00,DOWN,1884.118,1884.922,1884.52,1876.635,-7.885,5.45,8.16,2022-05-06T12:53:00+00:00,30,archived bid/ask M1,5.5,True
CPI,2022-05-11T12:30:00+00:00,DOWN,1849.616,1849.892,1849.754,1839.5825,-10.1715,0.575,14.718,2022-05-11T12:41:00+00:00,30,archived bid/ask M1,1.0,True
PPI,2022-05-12T12:30:00+00:00,UP,1843.816,1844.372,1844.094,1845.2575,1.1635,0.4,3.52,2022-05-12T12:43:00+00:00,30,archived bid/ask M1,0.5,True
NFP,2022-06-03T12:30:00+00:00,DOWN,1863.308,1863.942,1863.625,1858.422,-5.203,2.24,6.78,2022-06-03T12:40:00+00:00,30,archived bid/ask M1,2.5,True
CPI,2022-06-10T12:30:00+00:00,UP,1833.513,1833.862,1833.6875,1838.2655,4.578,8.565,12.179,2022-06-10T12:41:00+00:00,30,archived bid/ask M1,9.0,True
PPI,2022-06-14T12:30:00+00:00,UP,1819.708,1820.202,1819.955,1820.153,0.198,2.32,2.88,2022-06-14T12:48:00+00:00,30,archived bid/ask M1,2.5,True
FOMC,2022-06-15T18:00:00+00:00,UP,1820.858,1821.822,1821.34,1823.1885,1.8485,7.89,5.63,2022-06-15T18:18:00+00:00,30,archived bid/ask M1,8.0,False
NFP,2022-07-08T12:30:00+00:00,DOWN,1740.81,1741.306,1741.058,1738.6005,-2.4575,0.85,7.891,2022-07-08T12:31:00+00:00,30,archived bid/ask M1,1.0,True
CPI,2022-07-13T12:30:00+00:00,DOWN,1729.445,1729.889,1729.667,1712.7885,-16.8785,0.03,22.497,2022-07-13T12:42:00+00:00,30,archived bid/ask M1,0.5,True
PPI,2022-07-14T12:30:00+00:00,DOWN,1712.529,1712.916,1712.7225,1709.4225,-3.3,2.338,4.891,2022-07-14T12:45:00+00:00,30,archived bid/ask M1,2.5,True
FOMC,2022-07-27T18:00:00+00:00,UP,1721.605,1722.006,1721.8055,1725.47,3.6645,1.457,5.383,2022-07-27T18:04:00+00:00,30,archived bid/ask M1,1.5,True
GDP,2022-07-28T12:30:00+00:00,UP,1737.205,1737.612,1737.4085,1744.7505,7.342,0.387,12.56,2022-07-28T12:50:00+00:00,30,archived bid/ask M1,0.5,True
NFP,2022-08-05T12:30:00+00:00,DOWN,1788.58,1789.162,1788.871,1769.067,-19.804,0.0,21.248,2022-08-05T12:57:00+00:00,30,archived bid/ask M1,0.5,True
CPI,2022-08-10T12:30:00+00:00,UP,1790.378,1790.662,1790.52,1797.43,6.91,0.588,17.51,2022-08-10T12:40:00+00:00,30,archived bid/ask M1,1.0,True
PPI,2022-08-11T12:30:00+00:00,DOWN,1797.284,1797.706,1797.495,1796.8315,-0.6635,1.88,4.694,2022-08-11T12:36:00+00:00,30,archived bid/ask M1,2.0,True
NFP,2022-09-02T12:30:00+00:00,UP,1704.974,1705.396,1705.185,1708.868,3.683,0.09,10.066,2022-09-02T12:30:00+00:00,30,archived bid/ask M1,0.5,True
CPI,2022-09-13T12:30:00+00:00,DOWN,1730.808,1731.232,1731.02,1703.9205,-27.0995,0.044,27.834,2022-09-13T12:57:00+00:00,30,archived bid/ask M1,0.5,True
PPI,2022-09-14T12:30:00+00:00,UP,1703.366,1703.727,1703.5465,1705.923,2.3765,4.198,3.595,2022-09-14T12:52:00+00:00,30,archived bid/ask M1,4.5,False
FOMC,2022-09-21T18:00:00+00:00,DOWN,1668.508,1669.292,1668.9,1665.57,-3.33,0.07,14.859,2022-09-21T18:07:00+00:00,30,archived bid/ask M1,0.5,True
NFP,2022-10-07T12:30:00+00:00,DOWN,1710.037,1710.825,1710.431,1697.972,-12.459,2.817,19.533,2022-10-07T12:52:00+00:00,30,archived bid/ask M1,3.0,True
PPI,2022-10-12T12:30:00+00:00,UP,1670.445,1670.855,1670.65,1671.673,1.023,5.629,1.827,2022-10-12T12:52:00+00:00,30,archived bid/ask M1,6.0,False
CPI,2022-10-13T12:30:00+00:00,DOWN,1674.395,1674.839,1674.617,1654.66,-19.957,0.106,29.707,2022-10-13T12:47:00+00:00,30,archived bid/ask M1,0.5,True
GDP,2022-10-27T12:30:00+00:00,DOWN,1660.672,1662.253,1661.4625,1660.1895,-1.273,0.299,4.874,2022-10-27T12:48:00+00:00,30,archived bid/ask M1,0.5,True
FOMC,2022-11-02T18:00:00+00:00,UP,1650.1745,1650.542,1650.35825,1664.81825,14.46,2.29,15.281,2022-11-02T18:10:00+00:00,30,archived bid/ask M1,2.5,True
NFP,2022-11-04T12:30:00+00:00,UP,1650.1555,1650.523,1650.33925,1659.72925,9.39,6.481,10.339,2022-11-04T12:59:00+00:00,30,archived bid/ask M1,6.5,True
CPI,2022-11-10T13:30:00+00:00,UP,1711.7955,1712.163,1711.97925,1733.18825,21.209,0.09,25.21,2022-11-10T13:47:00+00:00,30,archived bid/ask M1,0.5,True
PPI,2022-11-15T13:30:00+00:00,UP,1775.297,1775.783,1775.54,1777.2855,1.7455,0.0,11.0,2022-11-15T13:34:00+00:00,30,archived bid/ask M1,0.5,True
NFP,2022-12-02T13:30:00+00:00,DOWN,1798.6545,1799.022,1798.83825,1785.73825,-13.1,0.721,20.27,2022-12-02T13:45:00+00:00,30,archived bid/ask M1,1.0,True
PPI,2022-12-09T13:30:00+00:00,DOWN,1801.207,1801.5745,1801.39075,1798.06175,-3.329,3.811,11.19,2022-12-09T13:30:00+00:00,30,archived bid/ask M1,4.0,True
CPI,2022-12-13T13:30:00+00:00,UP,1790.278,1791.135,1790.7065,1811.056,20.3495,0.736,24.068,2022-12-13T13:30:00+00:00,30,archived bid/ask M1,1.0,True
FOMC,2022-12-14T19:00:00+00:00,DOWN,1809.525,1810.442,1809.9835,1802.555,-7.4285,0.141,14.517,2022-12-14T19:00:00+00:00,30,archived bid/ask M1,0.5,True
NFP,2023-01-06T13:30:00+00:00,UP,1835.527,1836.413,1835.97,1851.805,15.835,1.05,16.409,2023-01-06T13:58:00+00:00,30,archived bid/ask M1,1.5,True
CPI,2023-01-12T13:30:00+00:00,UP,1886.897,1887.742,1887.3195,1899.749,12.4295,14.137,14.113,2023-01-12T13:55:00+00:00,30,archived bid/ask M1,14.5,False
PPI,2023-01-18T13:30:00+00:00,UP,1917.745,1918.542,1918.1435,1921.39,3.2465,0.01,6.091,2023-01-18T13:31:00+00:00,30,archived bid/ask M1,0.5,True
GDP,2023-01-26T13:30:00+00:00,DOWN,1937.585,1938.092,1937.8385,1937.675,-0.1635,0.0,6.58,2023-01-26T13:30:00+00:00,30,archived bid/ask M1,0.5,True
FOMC,2023-02-01T19:00:00+00:00,DOWN,1927.085,1928.355,1927.72,1925.015,-2.705,0.0,6.057,2023-02-01T19:00:00+00:00,30,archived bid/ask M1,0.5,True
NFP,2023-02-03T13:30:00+00:00,DOWN,1913.438,1914.182,1913.81,1886.84,-26.97,0.273,30.783,2023-02-03T13:52:00+00:00,30,archived bid/ask M1,0.5,True
CPI,2023-02-14T13:30:00+00:00,UP,1860.037,1860.993,1860.515,1862.579,2.064,10.122,9.96,2023-02-14T13:33:00+00:00,30,archived bid/ask M1,10.5,False
PPI,2023-02-16T13:30:00+00:00,DOWN,1836.383,1836.713,1836.548,1830.88,-5.668,1.432,8.811,2023-02-16T13:49:00+00:00,30,archived bid/ask M1,1.5,True
NFP,2023-03-10T13:30:00+00:00,UP,1833.604,1834.482,1834.043,1842.555,8.512,2.22,10.683,2023-03-10T13:51:00+00:00,30,archived bid/ask M1,2.5,True
CPI,2023-03-14T12:30:00+00:00,UP,1906.108,1906.895,1906.5015,1910.1335,3.632,7.2,5.391,2023-03-14T12:32:00+00:00,30,archived bid/ask M1,7.5,False
PPI,2023-03-15T12:30:00+00:00,UP,1919.164,1919.636,1919.4,1927.8985,8.4985,0.14,10.839,2023-03-15T12:53:00+00:00,30,archived bid/ask M1,0.5,True
FOMC,2023-03-22T18:00:00+00:00,UP,1945.714,1947.006,1946.36,1960.07,13.71,0.0,19.79,2023-03-22T18:03:00+00:00,30,archived bid/ask M1,0.5,True
CPI,2023-04-12T12:30:00+00:00,UP,2007.104,2008.056,2007.58,2022.34,14.76,0.02,20.449,2023-04-12T12:36:00+00:00,30,archived bid/ask M1,0.5,True
PPI,2023-04-13T12:30:00+00:00,UP,2028.666,2028.996,2028.831,2045.11,16.279,2.144,17.11,2023-04-13T12:55:00+00:00,30,archived bid/ask M1,2.5,True
GDP,2023-04-27T12:30:00+00:00,DOWN,1997.525,1998.135,1997.83,1985.953,-11.877,5.757,15.847,2023-04-27T12:44:00+00:00,30,archived bid/ask M1,6.0,True
FOMC,2023-05-03T18:00:00+00:00,DOWN,2023.195,2024.332,2023.7635,2022.2455,-1.518,11.97,3.97,2023-05-03T18:10:00+00:00,30,archived bid/ask M1,12.0,False
NFP,2023-05-05T12:30:00+00:00,DOWN,2033.558,2034.385,2033.9715,2010.3995,-23.572,0.0,25.953,2023-05-05T12:44:00+00:00,30,archived bid/ask M1,0.5,True
CPI,2023-05-10T12:30:00+00:00,UP,2029.628,2030.922,2030.275,2045.6645,15.3895,0.0,17.573,2023-05-10T12:44:00+00:00,30,archived bid/ask M1,0.5,True
PPI,2023-05-11T12:30:00+00:00,UP,2033.654,2034.126,2033.89,2037.5445,3.6545,0.0,7.496,2023-05-11T12:30:00+00:00,30,archived bid/ask M1,0.5,True
NFP,2023-06-02T12:30:00+00:00,DOWN,1978.434,1979.486,1978.96,1971.0115,-7.9485,0.506,9.929,2023-06-02T12:52:00+00:00,30,archived bid/ask M1,1.0,True
CPI,2023-06-13T12:30:00+00:00,UP,1959.684,1961.176,1960.43,1961.445,1.015,10.42,10.206,2023-06-13T12:30:00+00:00,30,archived bid/ask M1,10.5,False
PPI,2023-06-14T12:30:00+00:00,UP,1948.514,1949.192,1948.853,1957.185,8.332,2.416,11.344,2023-06-14T12:45:00+00:00,30,archived bid/ask M1,2.5,True
FOMC,2023-06-14T18:00:00+00:00,DOWN,1953.394,1953.866,1953.63,1944.875,-8.755,0.3,13.496,2023-06-14T18:06:00+00:00,30,archived bid/ask M1,0.5,True
NFP,2023-07-07T12:30:00+00:00,DOWN,1920.884,1921.46,1921.172,1918.8595,-2.3125,8.534,3.766,2023-07-07T12:30:00+00:00,30,archived bid/ask M1,9.0,False
CPI,2023-07-12T12:30:00+00:00,UP,1935.044,1935.516,1935.28,1943.26,7.98,0.42,14.789,2023-07-12T12:37:00+00:00,30,archived bid/ask M1,0.5,True
PPI,2023-07-13T12:30:00+00:00,DOWN,1958.784,1959.742,1959.263,1957.5815,-1.6815,4.35,6.539,2023-07-13T12:40:00+00:00,30,archived bid/ask M1,4.5,True
FOMC,2023-07-26T18:00:00+00:00,DOWN,1969.155,1969.932,1969.5435,1967.785,-1.7585,3.47,3.87,2023-07-26T18:00:00+00:00,30,archived bid/ask M1,3.5,True
GDP,2023-07-27T12:30:00+00:00,DOWN,1973.884,1974.356,1974.12,1960.3105,-13.8095,1.719,15.979,2023-07-27T12:56:00+00:00,30,archived bid/ask M1,2.0,True
NFP,2023-08-04T12:30:00+00:00,UP,1932.135,1932.886,1932.5105,1939.1185,6.608,7.237,10.149,2023-08-04T12:42:00+00:00,30,archived bid/ask M1,7.5,True
CPI,2023-08-10T12:30:00+00:00,UP,1923.515,1924.585,1924.05,1926.3,2.25,0.0,5.79,2023-08-10T12:32:00+00:00,30,archived bid/ask M1,0.5,True
PPI,2023-08-11T12:30:00+00:00,DOWN,1920.064,1920.536,1920.3,1916.145,-4.155,0.0,7.059,2023-08-11T12:50:00+00:00,30,archived bid/ask M1,0.5,True
NFP,2023-09-01T12:30:00+00:00,UP,1945.704,1946.295,1945.9995,1949.955,3.9555,0.99,6.99,2023-09-01T12:31:00+00:00,30,archived bid/ask M1,1.0,True
CPI,2023-09-13T12:30:00+00:00,UP,1911.495,1912.065,1911.78,1912.35,0.57,5.94,2.657,2023-09-13T12:52:00+00:00,30,archived bid/ask M1,6.0,False
PPI,2023-09-14T12:30:00+00:00,DOWN,1907.544,1908.016,1907.78,1904.49,-3.29,0.329,6.509,2023-09-14T12:38:00+00:00,30,archived bid/ask M1,0.5,True
FOMC,2023-09-20T18:00:00+00:00,DOWN,1946.058,1946.505,1946.2815,1942.985,-3.2965,0.23,6.914,2023-09-20T18:10:00+00:00,30,archived bid/ask M1,0.5,True
NFP,2023-10-06T12:30:00+00:00,DOWN,1819.335,1820.175,1819.755,1815.145,-4.61,0.25,9.047,2023-10-06T12:47:00+00:00,30,archived bid/ask M1,0.5,True
PPI,2023-10-11T12:30:00+00:00,UP,1870.674,1871.146,1870.91,1872.94,2.03,3.556,2.069,2023-10-11T12:58:00+00:00,30,archived bid/ask M1,4.0,False
CPI,2023-10-12T12:30:00+00:00,DOWN,1884.255,1884.825,1884.54,1879.125,-5.415,0.28,9.02,2023-10-12T12:41:00+00:00,30,archived bid/ask M1,0.5,True
GDP,2023-10-26T12:30:00+00:00,DOWN,1983.255,1983.855,1983.555,1979.58,-3.975,2.32,8.671,2023-10-26T12:47:00+00:00,30,archived bid/ask M1,2.5,True
FOMC,2023-11-01T18:00:00+00:00,UP,1977.635,1978.392,1978.0135,1978.73,0.7165,0.02,4.033,2023-11-01T18:00:00+00:00,30,archived bid/ask M1,0.5,True
NFP,2023-11-03T12:30:00+00:00,UP,1988.525,1989.782,1989.1535,2000.235,11.0815,0.047,14.483,2023-11-03T12:46:00+00:00,30,archived bid/ask M1,0.5,True
CPI,2023-11-14T13:30:00+00:00,UP,1945.405,1946.055,1945.73,1954.39,8.66,7.427,13.441,2023-11-14T13:32:00+00:00,30,archived bid/ask M1,7.5,True
PPI,2023-11-15T13:30:00+00:00,DOWN,1971.324,1971.775,1971.5495,1965.675,-5.8745,3.82,8.049,2023-11-15T13:43:00+00:00,30,archived bid/ask M1,4.0,True
NFP,2023-12-08T13:30:00+00:00,DOWN,2027.295,2027.985,2027.64,2018.625,-9.015,0.591,12.98,2023-12-08T13:37:00+00:00,30,archived bid/ask M1,1.0,True
CPI,2023-12-12T13:30:00+00:00,DOWN,1990.275,1990.925,1990.6,1984.495,-6.105,6.161,7.69,2023-12-12T13:46:00+00:00,30,archived bid/ask M1,6.5,True
PPI,2023-12-13T13:30:00+00:00,UP,1981.605,1981.935,1981.77,1984.55,2.78,0.26,5.043,2023-12-13T13:32:00+00:00,30,archived bid/ask M1,0.5,True
FOMC,2023-12-13T19:00:00+00:00,UP,1981.678,1982.008,1981.843,2006.13,24.287,0.0,26.257,2023-12-13T19:23:00+00:00,30,archived bid/ask M1,0.5,True
NFP,2024-01-05T13:30:00+00:00,UP,2038.985,2039.675,2039.33,2040.045,0.715,14.73,2.49,2024-01-05T13:53:00+00:00,30,archived bid/ask M1,15.0,False
CPI,2024-01-11T13:30:00+00:00,DOWN,2037.198,2038.035,2037.6165,2029.48,-8.1365,9.131,12.223,2024-01-11T13:32:00+00:00,30,archived bid/ask M1,9.5,True
PPI,2024-01-12T13:30:00+00:00,UP,2048.328,2048.962,2048.645,2056.205,7.56,0.013,7.89,2024-01-12T13:59:00+00:00,30,archived bid/ask M1,0.5,True
